Precinct	Votes	votes|Jeanette B Taylor	pct|Jeanette B Taylor	votes|Nicole J. Johnson	pct|Nicole J. Johnson	votes|Maya Hodari	pct|Maya Hodari	votes|Jennifer O. Maddox	pct|Jennifer O. Maddox	votes|Andre Smith	pct|Andre Smith	votes|Dernard D. Newell	pct|Dernard D. Newell	votes|Quandra V. Speights	pct|Quandra V. Speights	votes|Kevin M. Bailey	pct|Kevin M. Bailey	votes|Anthony Driver, Jr.	pct|Anthony Driver, Jr.
20001	267	109	40.82	32	11.99	12	4.49	13	4.87	17	6.37	3	1.12	4	1.50	76	28.46	1	0.37
20002	120	11	9.17	10	8.33	2	1.67	0	0	1	0.83	2	1.67	10	8.33	9	7.50	75	62.50
20003	208	62	29.81	22	10.58	35	16.83	10	4.81	19	9.13	1	0.48	0	0	56	26.92	3	1.44
20004	101	19	18.81	16	15.84	2	1.98	0	0	14	13.86	0	0	4	3.96	15	14.85	31	30.69
20005	274	64	23.36	46	16.79	64	23.36	10	3.65	23	8.39	10	3.65	12	4.38	39	14.23	6	2.19
20006	101	13	12.87	60	59.41	0	0	2	1.98	6	5.94	0	0	3	2.97	12	11.88	5	4.95
20007	225	69	30.67	38	16.89	10	4.44	20	8.89	17	7.56	2	0.89	4	1.78	55	24.44	10	4.44
20008	226	82	36.28	41	18.14	14	6.19	11	4.87	26	11.50	0	0	10	4.42	36	15.93	6	2.65
20009	376	124	32.98	77	20.48	65	17.29	17	4.52	18	4.79	7	1.86	6	1.60	50	13.30	12	3.19
20010	153	54	35.29	16	10.46	18	11.76	17	11.11	16	10.46	0	0	1	0.65	28	18.30	3	1.96
20011	288	73	25.35	85	29.51	24	8.33	10	3.47	23	7.99	1	0.35	11	3.82	54	18.75	7	2.43
20012	151	40	26.49	24	15.89	5	3.31	10	6.62	32	21.19	1	0.66	0	0	32	21.19	7	4.64
20013	276	62	22.46	139	50.36	6	2.17	12	4.35	12	4.35	0	0	3	1.09	31	11.23	11	3.99
20014	144	60	41.67	27	18.75	13	9.03	10	6.94	11	7.64	1	0.69	2	1.39	16	11.11	4	2.78
20015	153	49	32.03	24	15.69	13	8.50	12	7.84	14	9.15	1	0.65	1	0.65	21	13.73	18	11.76
20016	265	112	42.26	48	18.11	18	6.79	18	6.79	14	5.28	4	1.51	11	4.15	36	13.58	4	1.51
20017	126	37	29.37	36	28.57	6	4.76	8	6.35	5	3.97	2	1.59	3	2.38	17	13.49	12	9.52
20018	163	53	32.52	22	13.50	16	9.82	9	5.52	21	12.88	1	0.61	2	1.23	34	20.86	5	3.07
20019	228	70	30.70	40	17.54	20	8.77	26	11.40	21	9.21	1	0.44	5	2.19	37	16.23	8	3.51
20020	133	59	44.36	18	13.53	4	3.01	2	1.50	9	6.77	1	0.75	2	1.50	23	17.29	15	11.28
20021	141	42	29.79	41	29.08	6	4.26	4	2.84	7	4.96	2	1.42	4	2.84	15	10.64	20	14.18
20022	333	65	19.52	84	25.23	94	28.23	18	5.41	9	2.70	7	2.10	3	0.90	45	13.51	8	2.40
20023	231	53	22.94	59	25.54	11	4.76	9	3.90	37	16.02	1	0.43	3	1.30	36	15.58	22	9.52
20024	286	95	33.22	51	17.83	62	21.68	21	7.34	12	4.20	2	0.70	7	2.45	27	9.44	9	3.15
20025	174	27	15.52	48	27.59	4	2.30	9	5.17	9	5.17	1	0.57	5	2.87	36	20.69	35	20.11
20026	286	80	27.97	59	20.63	46	16.08	9	3.15	25	8.74	6	2.10	7	2.45	41	14.34	13	4.55
20027	120	28	23.33	29	24.17	3	2.50	11	9.17	11	9.17	0	0	0	0	31	25.83	7	5.83
20028	146	31	21.23	19	13.01	11	7.53	6	4.11	39	26.71	1	0.68	3	2.05	32	21.92	4	2.74
20029	331	109	32.93	126	38.07	10	3.02	19	5.74	9	2.72	0	0	0	0	49	14.80	9	2.72
20030	112	20	17.86	39	34.82	3	2.68	10	8.93	10	8.93	0	0	1	0.89	21	18.75	8	7.14
20031	262	101	38.55	45	17.18	14	5.34	8	3.05	26	9.92	1	0.38	2	0.76	48	18.32	17	6.49
20032	210	45	21.43	53	25.24	12	5.71	9	4.29	21	10.00	2	0.95	3	1.43	27	12.86	38	18.10
20033	143	30	20.98	28	19.58	9	6.29	7	4.90	21	14.69	3	2.10	9	6.29	34	23.78	2	1.40
20034	360	138	38.33	59	16.39	60	16.67	18	5.00	27	7.50	4	1.11	4	1.11	24	6.67	26	7.22
20035	136	17	12.50	13	9.56	1	0.74	76	55.88	9	6.62	2	1.47	2	1.47	12	8.82	4	2.94
20036	68	14	20.59	23	33.82	0	0	3	4.41	2	2.94	0	0	3	4.41	20	29.41	3	4.41
20037	69	14	20.29	26	37.68	4	5.80	6	8.70	4	5.80	0	0	0	0	13	18.84	2	2.90
20038	79	17	21.52	19	24.05	1	1.27	0	0	3	3.80	1	1.27	7	8.86	17	21.52	14	17.72
20039	19	6	31.58	2	10.53	3	15.79	0	0	0	0	0	0	0	0	6	31.58	2	10.53
